kategoria,nazwa,patroni,mies,total
blog,arhn.eu,402,9054,653000
blog,Łukasz Rybarski YES:),193,4740,308000
blog,Mirosław Kardaś,59,1814,209000
blog,"Karol Wójcicki, Z głową w gwiazdach",163,3980,206000
blog,Zwierz popkulturalny,154,1410,158000
cosplay,Kaer Morhen Forge,0,0,37000
cosplay,PREPOSTEVOLUTION,0,0,11000
cosplay,Doncia,1,15,2296
cosplay,Leśny Elf,6,115,2220
cosplay,Elihal Workshop - Witcher Tailor,0,0,950
design,Łukasz Giergasz,48,640,22000
design,Polskie Marki Modowe,0,0,17000
design,Freakery,5,150,13000
design,KŁOSY,0,0,9050
design,Przestrzeń Otwarta,0,0,6860
edukacja,English is FUN,15,270,22000
edukacja,Haftowa Baba,56,1056,21000
edukacja,BABSKA KORBA,17,510,19000
edukacja,Aktualne Warunki w Górach,13,175,18000
edukacja,Julita Ilczyszyn,4,130,17000
film,Dzieci Świata - Marzena Figiel,173,4766,38000
film,Teatr Żelazny,5,160,36000
film,VHS HELL,38,648,25000
film,Kino AMONDO,30,1160,24000
film,Kino Bajka,1,10,10000
fotografia,Michał Woroch - w h e e l c h a i r t r i p,79,2025,139000
fotografia,Marta Rybak Juszczyszyn,145,5760,98000
fotografia,Kontynenty,10,195,27000
fotografia,Galeria Piana,10,625,26000
fotografia,Drzewiński O FOTOGRAFII,21,622,25000
grafika,Mroux,85,1490,83000
grafika,PRACOWNIA OKO,11,800,73000
grafika,piotr kamieniarz,4,300,20000
grafika,Karoinna,2,100,13000
grafika,ART HUB,8,310,13000
gry,Gentleman's Club Warszawa,36,2345,103000
gry,Kartografia Niepraktyczna,127,2305,58000
gry,Mój Loch,84,2095,44000
gry,Jacek Wesołowski,10,243,43000
gry,3D Studio by Buser,45,1630,42000
inne,CAK,93,867,33000
inne,Fani Klocków,82,1650,8870
inne,"FUNDACJA NA RZECZ OBRONNOŚCI I BEZPIECZEŃSTWA KRAJU ""COMBAT ALERT""",4,200,8730
inne,"1 Beskidzka Drużyna Harcerzy ""SZARA"" im. Aleksego Dawidowskiego",2,60,6725
inne,Esu,0,0,3490
komiks,Pyrkon - Fantastyczne Miejsce Spotkań,55,1710,254000
komiks,Anna Kłosowska,32,520,43000
komiks,Mieszko Komiks,18,1580,43000
komiks,Szarosen,41,1145,39000
komiks,Stare Konie,13,320,26000
kulinarni,R'lyeh Cafe,3,30,63000
kulinarni,Klubokawiarnia Cynamon,0,0,34000
kulinarni,Magnus,19,1470,17000
kulinarni,Agere Contra,42,2075,13000
kulinarni,Hex Cafe,2,150,11000
literatura,Magna Polonia,44,1288,113000
literatura,Papierwdole,57,1476,99000
literatura,Mistrz Gry Online,23,3225,82000
literatura,Mistycyzm Popkulturowy,153,3140,66000
literatura,Manuela Gretkowska,131,3180,54000
malarstwo,Tomasz Gołaski,0,0,580
malarstwo,Anioły Beatrixe,0,0,75
malarstwo,Hapcio,0,0,0
moda,Luxury Market Poland,97,1420,20000
moda,Paweł Rupala,0,0,19000
moda,Twoje Zegarki,0,0,2790
moda,DK HAIRSTYLE,0,0,520
moda,Stay Wild,0,0,330
motoryzacja,Karting Raport,20,1810,47000
motoryzacja,Youngtimer Warsaw,39,1620,46000
motoryzacja,Klub Sympatyków Kolei we Wrocławiu,33,1820,33000
motoryzacja,Muzeum Motoryzacji i Techniki w Otrębusach,16,427,31000
motoryzacja,Węzeł przesiadkowy,33,612,27000
muzyka,Nowy Tygodnik Kulturalny,286,5935,271000
muzyka,owca,110,2200,213000
muzyka,Jan Chojnacki,163,3090,139000
muzyka,NOISE Magazine,86,3260,114000
muzyka,Fundacja Game Music,24,1750,71000
nauka,Karol Wójcicki  -  Z głową w gwiazdach,163,3980,206000
nauka,"Fundacja ""Theravada""",155,4720,186000
nauka,Hackerspace Trójmiasto,41,4464,159000
nauka,Centrum Słowian i Wikingów w Wolinie,23,694,94000
nauka,Ekonomia i cała reszta,208,3960,88000
podcast,Dział Zagraniczny,3891,71925,1610000
podcast,RADIO ROCKSERWIS FM,956,20260,736000
podcast,Brzmienie Świata z lotu Drozda,1282,18720,722000
podcast,Niedźwiecka o Zmierzchu,776,21373,601000
podcast,K3 podcast Dariusza Bugalskiego,689,13090,537000
polityka,Dariusz Rosiak,7023,110835,4050000
polityka,Sekielski Brothers Studio,1119,25725,3580000
polityka,Jan Śpiewak,522,11624,453000
polityka,Sekcja Gimnastyczna,717,9770,370000
polityka,Marek Czyż,116,2251,275000
publicystyka,Więź,279,10155,682000
publicystyka,Magazyn Kontakt,82,2950,134000
publicystyka,Fundacja Niezła Sztuka,104,2300,95000
publicystyka,Piknik na skraju głupoty,51,795,57000
publicystyka,Liberté!,1,9,17000
rekodzielo,Mariusz Kula Art,4,130,12000
rekodzielo,Jacek Domagalski,0,0,4920
rekodzielo,Tomasz Piwowarski Blades,2,80,4500
rekodzielo,Piotr Starościc,1,5,3605
rekodzielo,Marianna Drozdowska,0,0,3120
rosliny,Kamila Sułek,1,50,1810
rosliny,Fundacja Mój Las,1,20,1570
rosliny,METANOIRIS,2,150,1300
rosliny,FUNDACJA SZTUK PERFORMATYWNYCH „NOSTALGIC BOYS”,2,109,555
rosliny,Fundacja Schronisko dla Roślin,1,5,370
spoleczne,Virtual Dream - Piotr Łój,587,14685,988000
spoleczne,Misja: Ukraina  -  Polska Misja Medyczna,189,7365,272000
spoleczne,OMZRiK,346,9365,261000
spoleczne,Fundacja Smile Together,18,2330,251000
spoleczne,Piotr Żyłka,303,6330,244000
sport,Syrenka CX - Cyclocross Warszawa,30,680,47000
sport,Zagłębie Sosnowiec Hokej,68,7420,39000
sport,RadioWidzew.pl,25,400,27000
sport,Ustaw się na bieganie w Gdańsku,14,460,27000
sport,Rugby Club Lechia Gdańsk,5,118,24000
streamerzy,LIMBOSKI,41,800,43000
streamerzy,9kier,26,912,27000
streamerzy,Yeah Bunny,2,198,25000
streamerzy,Zbigniew Pakleza,21,588,23000
streamerzy,ZavadaHS,23,950,19000
sztuka,Społeczne stypendium dla Pani Beatki i Pana Maćka,2,150,33000
sztuka,NOWY ZŁOTY,11,600,22000
sztuka,Antoni Maluje,2,101,8741
sztuka,Fundacja Migawka,3,60,6485
sztuka,Iga Nasiek,19,576,5934
teatr,Potem-o-tem,105,4708,133000
teatr,Polnisches Theater Berlin,0,0,4790
teatr,Teatr A Part,5,225,2625
teatr,Poławiacze Pereł Improv Teatr,1,13,1900
teatr,Teatr The M.A.S.K.,1,10,560
wyprawy,Miłosz Sowiński,5,298,75000
wyprawy,Podróż Odbyta,20,300,29000
wyprawy,"Zew Oceanu - dookoła świata, raz jeszcze",15,760,26000
